SETTLEMENTDATE,actual,Naive Baseline,ARIMA,SARIMA,Holt-Winters,XGBoost,XGBoost + Temp,temp_max
2025-12-27 15:00:00,3593.885,6306.906666666667,6791.059387595695,6804.021830680768,7754.9510297861125,5029.6157,4372.7925,20.4
2025-12-27 15:30:00,4061.51,6646.786666666667,6791.059387595695,6804.021830680768,7906.034722717051,5543.771,4628.4814,20.4
2025-12-27 16:00:00,4591.673333333333,7167.468333333333,6791.059387595695,6804.021830680768,8185.841232185468,5783.9937,5092.3926,20.4
2025-12-27 16:30:00,5332.37,7704.580000000001,6791.059387595695,6804.021830680768,8550.127996834843,6695.293,5703.032,20.4
2025-12-27 17:00:00,5957.365000000001,8227.6,6791.059387595695,6804.021830680768,8935.706927793775,7048.6943,6250.418,20.4
2025-12-27 17:30:00,6490.833333333333,8615.893333333333,6791.059387595695,6804.021830680768,9272.658398124286,7349.521,6578.7104,20.4
2025-12-27 18:00:00,6864.111666666667,8719.141666666666,6791.059387595695,6804.021830680768,9487.671871407309,7528.84,6758.932,20.4
2025-12-27 18:30:00,6954.7716666666665,8672.376666666667,6791.059387595695,6804.021830680768,9668.519055749126,7460.3154,6730.196,20.4
2025-12-27 19:00:00,7072.258333333334,8577.868333333334,6791.059387595695,6804.021830680768,9714.987449109945,7525.628,6884.9517,20.4
2025-12-27 19:30:00,7158.671666666666,8530.378333333334,6791.059387595695,6804.021830680768,9656.810992630031,7398.2607,6834.7754,20.4
2025-12-27 20:00:00,7102.256666666667,8197.136666666667,6791.059387595695,6804.021830680768,9504.063981138866,7168.6455,6726.2056,20.4
2025-12-27 20:30:00,6951.241666666666,8006.293333333334,6791.059387595695,6804.021830680768,9379.209297145273,6942.9116,6605.471,20.4
2025-12-27 21:00:00,6863.006666666667,7895.546666666666,6791.059387595695,6804.021830680768,9280.987621518367,6768.577,6498.9277,20.4
2025-12-27 21:30:00,6804.32,7779.993333333333,6791.059387595695,6804.021830680768,9204.082972203472,6751.5044,6520.239,20.4
2025-12-27 22:00:00,6670.615000000001,7641.97,6791.059387595695,6804.021830680768,9095.978240943177,6634.272,6425.334,20.4
2025-12-27 22:30:00,6504.895,7406.195,6791.059387595695,6804.021830680768,8952.006473772393,6658.6533,6565.4062,20.4
2025-12-27 23:00:00,6372.303333333333,7237.66,6791.059387595695,6804.021830680768,8850.940208384704,6630.957,6578.3306,20.4
2025-12-27 23:30:00,6300.150000000001,7102.153333333333,6791.059387595695,6804.021830680768,8779.265412070736,6582.675,6464.355,20.4
2025-12-28 00:00:00,6169.44,7008.828333333334,6791.059603582109,7426.0556772769005,8675.159086899337,5735.7466,6002.251,20.8
2025-12-28 00:30:00,6004.724999999999,6793.8983333333335,6791.059603582109,7426.0556772769005,8559.923403541767,5743.1035,5988.6533,20.8
2025-12-28 01:00:00,5871.548333333333,6592.515,6791.059603582109,7426.0556772769005,8468.180462276458,5557.531,5903.4805,20.8
2025-12-28 01:30:00,5789.150000000001,6478.705000000001,6791.059603582109,7426.0556772769005,8385.84393413233,5508.0205,5764.6113,20.8
2025-12-28 02:00:00,5679.685,6401.131666666667,6791.059603582109,7426.0556772769005,8334.200235220975,5441.1455,5698.507,20.8
2025-12-28 02:30:00,5598.528333333333,6300.6483333333335,6791.059603582109,7426.0556772769005,8249.321516718775,5464.601,5545.729,20.8
2025-12-28 03:00:00,5557.251666666667,6252.096666666667,6791.059603582109,7426.0556772769005,8193.855299485125,5445.954,5499.651,20.8
2025-12-28 03:30:00,5562.07,6214.051666666666,6791.059603582109,7426.0556772769005,8170.481047240098,5438.922,5529.4194,20.8
2025-12-28 04:00:00,5565.461666666666,6251.285,6791.059603582109,7426.0556772769005,8191.608925526444,5353.921,5601.541,20.8
2025-12-28 04:30:00,5578.900000000001,6205.745,6791.059603582109,7426.0556772769005,8226.055035304447,5322.8984,5618.172,20.8
2025-12-28 05:00:00,5592.193333333334,6148.116666666666,6791.059603582109,7426.0556772769005,8265.206311046142,5321.9126,5655.935,20.8
2025-12-28 05:30:00,5485.673333333333,5978.721666666667,6791.059603582109,7426.0556772769005,8291.138431059646,5327.255,5639.667,20.8
2025-12-28 06:00:00,5310.965,5771.281666666667,6791.059603582109,7426.0556772769005,8319.239319785742,5061.6006,5505.777,20.8
2025-12-28 06:30:00,5083.973333333333,5545.19,6791.059603582109,7426.0556772769005,8347.920246107917,4846.9194,5398.0303,20.8
2025-12-28 07:00:00,4764.501666666667,5408.826666666667,6791.059603582109,7426.0556772769005,8413.38797531821,4670.7764,5298.8994,20.8
2025-12-28 07:30:00,4465.568333333334,5192.6050000000005,6791.059603582109,7426.0556772769005,8489.164010986395,4489.146,4999.9,20.8
2025-12-28 08:00:00,4198.7733333333335,4792.915,6791.059603582109,7426.0556772769005,8487.8152614444,4186.4053,4863.632,20.8
2025-12-28 08:30:00,3906.67,4580.518333333333,6791.059603582109,7426.0556772769005,8400.338879658577,3951.7156,4663.497,20.8
2025-12-28 09:00:00,3799.286666666667,4569.866666666667,6791.059603582109,7426.0556772769005,8320.083934846487,3645.08,4417.272,20.8
2025-12-28 09:30:00,4152.846666666667,5048.058333333333,6791.059603582109,7426.0556772769005,8248.278979615143,3428.323,4189.0854,20.8
2025-12-28 10:00:00,4371.596666666667,4855.59,6791.059603582109,7426.0556772769005,8124.079946626525,3336.5261,3914.487,20.8
2025-12-28 10:30:00,4254.593333333333,4654.285,6791.059603582109,7426.0556772769005,7942.338929413497,3110.9204,3702.4348,20.8
2025-12-28 11:00:00,3948.723333333334,4642.618333333333,6791.059603582109,7426.0556772769005,7816.768708497694,3092.4639,3569.95,20.8
2025-12-28 11:30:00,3679.745,4584.86,6791.059603582109,7426.0556772769005,7712.942160012892,3081.5596,3537.7742,20.8
2025-12-28 12:00:00,3533.4283333333333,4600.045,6791.059603582109,7426.0556772769005,7685.746120564734,3230.8462,3616.7974,20.8
2025-12-28 12:30:00,3309.066666666667,4558.711666666667,6791.059603582109,7426.0556772769005,7705.02782706713,3517.4622,3707.673,20.8
2025-12-28 13:00:00,3144.42,4777.598333333333,6791.059603582109,7426.0556772769005,7736.026477798476,3659.3064,3802.0317,20.8
2025-12-28 13:30:00,3084.0766666666664,4977.298333333333,6791.059603582109,7426.0556772769005,7839.920759534709,3918.3389,3966.8335,20.8
2025-12-28 14:00:00,3086.23,5159.055,6791.059603582109,7426.0556772769005,7959.323130901778,4223.501,4169.985,20.8
2025-12-28 14:30:00,3333.4533333333334,5379.133333333333,6791.059603582109,7426.0556772769005,8143.758328929656,4860.8804,4444.6987,20.8
2025-12-28 15:00:00,3605.985,5689.008333333334,6791.059603582109,7426.0556772769005,8371.489797220609,5364.2783,4815.9355,20.8
2025-12-28 15:30:00,3998.33,6016.066666666667,6791.059603582109,7426.0556772769005,8656.795242607106,6033.747,5260.5225,20.8
2025-12-28 16:00:00,4608.181666666666,6335.548333333333,6791.059603582109,7426.0556772769005,9005.707759556753,6454.3325,5606.135,20.8
2025-12-28 16:30:00,5301.891666666666,6978.301666666666,6791.059603582109,7426.0556772769005,9405.23422463412,6931.856,6110.0503,20.8
2025-12-28 17:00:00,6004.543333333334,7449.241666666666,6791.059603582109,7426.0556772769005,9750.425258823152,7420.6304,6680.1235,20.8
2025-12-28 17:30:00,6637.3533333333335,7891.871666666667,6791.059603582109,7426.0556772769005,10044.700406344935,7700.3345,6959.5015,20.8
2025-12-28 18:00:00,6920.628333333333,8029.703333333334,6791.059603582109,7426.0556772769005,10228.398264106716,7826.3267,7174.983,20.8
2025-12-28 18:30:00,7041.566666666667,8060.54,6791.059603582109,7426.0556772769005,10367.527768152158,7904.117,7305.7974,20.8
2025-12-28 19:00:00,7217.626666666667,8045.208333333333,6791.059603582109,7426.0556772769005,10400.499151928456,7825.996,7308.9155,20.8
2025-12-28 19:30:00,7280.731666666667,8005.806666666666,6791.059603582109,7426.0556772769005,10340.7368724843,7742.215,7316.481,20.8
2025-12-28 20:00:00,7205.544999999999,7898.54,6791.059603582109,7426.0556772769005,10160.250944450954,7461.5044,7276.0723,20.8
2025-12-28 20:30:00,7034.761666666666,7670.599999999999,6791.059603582109,7426.0556772769005,9982.806775547842,7201.4395,7072.878,20.8
2025-12-28 21:00:00,6651.153333333333,7535.931666666666,6791.059603582109,7426.0556772769005,9841.656430703013,7005.335,6926.803,20.8
2025-12-28 21:30:00,6542.335,7347.471666666667,6791.059603582109,7426.0556772769005,9720.152698843716,6953.4927,6861.823,20.8
2025-12-28 22:00:00,6637.368333333333,7196.488333333334,6791.059603582109,7426.0556772769005,9543.836831355133,6675.211,6696.7856,20.8
2025-12-28 22:30:00,6591.678333333333,6998.328333333334,6791.059603582109,7426.0556772769005,9339.015786199629,6469.5225,6512.5225,20.8
2025-12-28 23:00:00,6454.805,6798.32,6791.059603582109,7426.0556772769005,9164.281291737712,6579.9297,6674.1255,20.8
2025-12-28 23:30:00,6334.658333333333,6681.193333333333,6791.059603582109,7426.0556772769005,9040.3479473095,6738.0166,6678.7793,20.8
2025-12-29 00:00:00,6220.34,6559.37,6791.059735473683,7556.7354229700495,8891.208515481983,6098.3906,6238.9185,22.0
2025-12-29 00:30:00,6070.753333333334,6338.145,6791.059735473683,7556.7354229700495,8744.072240083837,5954.4814,6227.172,22.0
2025-12-29 01:00:00,5926.565,6198.2266666666665,6791.059735473683,7556.7354229700495,8629.925392097775,5957.593,6192.8457,22.0
2025-12-29 01:30:00,5831.546666666666,6119.943333333334,6791.059735473683,7556.7354229700495,8544.70107989043,5846.7095,6136.205,22.0
2025-12-29 02:00:00,5711.136666666666,6066.106666666667,6791.059735473683,7556.7354229700495,8460.419672593998,5774.3906,6042.0605,22.0
2025-12-29 02:30:00,5694.860000000001,6035.59,6791.059735473683,7556.7354229700495,8353.472533729046,5645.0264,5910.4844,22.0
2025-12-29 03:00:00,5633.645,6039.2716666666665,6791.059735473683,7556.7354229700495,8308.71296858289,5704.8877,5827.1904,22.0
2025-12-29 03:30:00,5648.9783333333335,6115.0,6791.059735473683,7556.7354229700495,8264.393724844389,5708.591,5840.3574,22.0
2025-12-29 04:00:00,5749.170000000001,6296.889999999999,6791.059735473683,7556.7354229700495,8265.992131329192,5784.901,5916.6016,22.0
2025-12-29 04:30:00,5834.016666666666,6399.641666666666,6791.059735473683,7556.7354229700495,8292.264840621201,5868.7495,5954.3584,22.0
2025-12-29 05:00:00,5893.491666666666,6600.361666666667,6791.059735473683,7556.7354229700495,8364.194414676324,5875.3145,6178.0073,22.0
2025-12-29 05:30:00,5901.991666666666,6684.666666666667,6791.059735473683,7556.7354229700495,8421.675185321152,5805.9985,6145.6104,22.0
2025-12-29 06:00:00,5759.599999999999,6661.948333333334,6791.059735473683,7556.7354229700495,8484.386536032058,5719.951,6160.656,22.0
2025-12-29 06:30:00,5603.34,6487.598333333332,6791.059735473683,7556.7354229700495,8559.689549949837,5578.865,5937.858,22.0
2025-12-29 07:00:00,5401.451666666667,6139.993333333333,6791.059735473683,7556.7354229700495,8719.931799347762,5407.2734,5858.9795,22.0
2025-12-29 07:30:00,5131.255,5826.056666666666,6791.059735473683,7556.7354229700495,8851.655593131878,5227.2427,5622.5195,22.0
2025-12-29 08:00:00,4924.95,5579.611666666667,6791.059735473683,7556.7354229700495,8886.590447355133,5172.717,5543.6494,22.0
2025-12-29 08:30:00,4691.015,5274.320000000001,6791.059735473683,7556.7354229700495,8823.865220049063,5039.756,5408.8687,22.0
2025-12-29 09:00:00,4239.216666666666,5079.903333333333,6791.059735473683,7556.7354229700495,8685.32808327059,4623.667,5055.281,22.0
2025-12-29 09:30:00,3963.09,5167.866666666667,6791.059735473683,7556.7354229700495,8437.748382184773,4389.639,4671.2817,22.0
2025-12-29 10:00:00,3627.2116666666666,5167.818333333334,6791.059735473683,7556.7354229700495,8202.184037703364,4254.36,4191.788,22.0
2025-12-29 10:30:00,3220.885,4874.816666666667,6791.059735473683,7556.7354229700495,7959.549368038837,4214.161,4249.3706,22.0
2025-12-29 11:00:00,2997.1749999999997,5133.408333333334,6791.059735473683,7556.7354229700495,7773.733391320242,4096.2812,3963.2207,22.0
2025-12-29 11:30:00,2895.351666666667,4941.928333333333,6791.059735473683,7556.7354229700495,7641.956355485749,3721.2327,3876.6157,22.0
2025-12-29 12:00:00,2802.558333333333,5072.786666666667,6791.059735473683,7556.7354229700495,7514.5705038344795,3889.7698,3913.6624,22.0
2025-12-29 12:30:00,2776.5016666666666,5231.901666666667,6791.059735473683,7556.7354229700495,7489.607965768724,3905.0417,3859.9941,22.0
2025-12-29 13:00:00,2861.72,5894.963333333333,6791.059735473683,7556.7354229700495,7527.40129142718,3960.8862,3927.4175,22.0
2025-12-29 13:30:00,2982.4466666666667,6147.636666666666,6791.059735473683,7556.7354229700495,7574.222069054051,3885.2507,3900.759,22.0
2025-12-29 14:00:00,3172.1966666666667,6309.943333333334,6791.059735473683,7556.7354229700495,7669.722581433661,3993.0266,3887.9368,22.0
2025-12-29 14:30:00,3538.215,6818.888333333333,6791.059735473683,7556.7354229700495,7825.120814784235,4548.1436,4248.93,22.0
2025-12-29 15:00:00,4077.398333333333,6974.141666666666,6791.059735473683,7556.7354229700495,8002.2792666988225,5034.4287,4513.5396,22.0
2025-12-29 15:30:00,4679.076666666667,7091.141666666666,6791.059735473683,7556.7354229700495,8199.194805318351,5418.24,4860.3975,22.0
2025-12-29 16:00:00,5353.2283333333335,7143.7,6791.059735473683,7556.7354229700495,8422.683369619672,5744.2144,5319.588,22.0
2025-12-29 16:30:00,6052.508333333334,7677.243333333333,6791.059735473683,7556.7354229700495,8752.731848319472,6152.5566,5774.3477,22.0
